conditionId	mu_a	mu_b	alpha_ab	alpha_ba	A	B
c_1	mu_1	mu_1	alpha_1_1	alpha_1_1	initA_c_1	initA_c_1
c_2	mu_2	mu_2	alpha_2_2	alpha_2_2	initA_c_2	initA_c_2
c_3	mu_3	mu_3	alpha_3_3	alpha_3_3	initA_c_3	initA_c_3
c_4	mu_4	mu_4	alpha_4_4	alpha_4_4	initA_c_4	initA_c_4
c_5	mu_5	mu_5	alpha_5_5	alpha_5_5	initA_c_5	initA_c_5
c_6	mu_6	mu_6	alpha_6_6	alpha_6_6	initA_c_6	initA_c_6
c_7	mu_7	mu_7	alpha_7_7	alpha_7_7	initA_c_7	initA_c_7
c_8	mu_8	mu_8	alpha_8_8	alpha_8_8	initA_c_8	initA_c_8
c_9	mu_9	mu_9	alpha_9_9	alpha_9_9	initA_c_9	initA_c_9
c_10	mu_10	mu_10	alpha_10_10	alpha_10_10	initA_c_10	initA_c_10
c_11	mu_11	mu_11	alpha_11_11	alpha_11_11	initA_c_11	initA_c_11
c_12	mu_12	mu_12	alpha_12_12	alpha_12_12	initA_c_12	initA_c_12
c_1_2_i	mu_1	mu_2	alpha_1_2	alpha_2_1	initA_c_1_2	initB_c_1_2
c_1_2_ii	mu_1	mu_2	alpha_1_2	alpha_2_1		
c_1_2_iii	mu_1	mu_2	alpha_1_2	alpha_2_1		
c_1_3_i	mu_1	mu_3	alpha_1_3	alpha_3_1	initA_c_1_3	initB_c_1_3
c_1_3_ii	mu_1	mu_3	alpha_1_3	alpha_3_1		
c_1_3_iii	mu_1	mu_3	alpha_1_3	alpha_3_1		
c_1_4_i	mu_1	mu_4	alpha_1_4	alpha_4_1	initA_c_1_4	initB_c_1_4
c_1_4_ii	mu_1	mu_4	alpha_1_4	alpha_4_1		
c_1_4_iii	mu_1	mu_4	alpha_1_4	alpha_4_1		
c_1_5_i	mu_1	mu_5	alpha_1_5	alpha_5_1	initA_c_1_5	initB_c_1_5
c_1_5_ii	mu_1	mu_5	alpha_1_5	alpha_5_1		
c_1_5_iii	mu_1	mu_5	alpha_1_5	alpha_5_1		
c_1_6_i	mu_1	mu_6	alpha_1_6	alpha_6_1	initA_c_1_6	initB_c_1_6
