parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate	objectivePriorType	objectivePriorParameters	objectivePriorParameters1
mu_1	lin	0	10	0.11752913562805656	1	normal	0.0; 3.0	0.0; 0.1414213562373095
mu_2	lin	0	10	0.1600230474509088	1	normal	0.0; 3.0	0.0; 0.1414213562373095
mu_3	lin	0	10	0.6245785401262064	1	normal	0.0; 3.0	0.0; 0.1414213562373095
mu_4	lin	0	10	0.2078292006970349	1	normal	0.0; 3.0	0.0; 0.1414213562373095
mu_5	lin	0	10	0.5900576085890903	1	normal	0.0; 3.0	0.0; 0.1414213562373095
mu_6	lin	0	10	0.5399713158342654	1	normal	0.0; 3.0	0.0; 0.1414213562373095
mu_7	lin	0	10	0.621752327968522	1	normal	0.0; 3.0	0.0; 0.1414213562373095
mu_8	lin	0	10	0.2618512547326292	1	normal	0.0; 3.0	0.0; 0.1414213562373095
mu_9	lin	0	10	0.25495784117728904	1	normal	0.0; 3.0	0.0; 0.1414213562373095
mu_10	lin	0	10	0.7031404048628545	1	normal	0.0; 3.0	0.0; 0.1414213562373095
mu_11	lin	0	10	0.34454588015360216	1	normal	0.0; 3.0	0.0; 0.1414213562373095
mu_12	lin	0	10	0.27741273615103196	1	normal	0.0; 3.0	0.0; 0.1414213562373095
alpha_1_2	lin	-10	10	0.24356825618821007	1	normal	0.0; 3.0	0.0; 0.1414213562373095
alpha_2_1	lin	-10	10	-1.561969137245612	1	normal	0.0; 3.0	0.0; 0.1414213562373095
alpha_1_3	lin	-10	10	-0.21294047115848833	1	normal	0.0; 3.0	0.0; 0.1414213562373095
alpha_3_1	lin	-10	10	2.5442932051134326	1	normal	0.0; 3.0	0.0; 0.1414213562373095
alpha_1_4	lin	-10	10	-0.5408355761680875	1	normal	0.0; 3.0	0.0; 0.1414213562373095
alpha_4_1	lin	-10	10	2.3936156162681903	1	normal	0.0; 3.0	0.0; 0.1414213562373095
alpha_1_5	lin	-10	10	-0.24735202326588956	1	normal	0.0; 3.0	0.0; 0.1414213562373095
alpha_5_1	lin	-10	10	3.1949765263519283	1	normal	0.0; 3.0	0.0; 0.1414213562373095
alpha_1_6	lin	-10	10	-0.17917897762591925	1	normal	0.0; 3.0	0.0; 0.1414213562373095
alpha_6_1	lin	-10	10	0.8746222911071617	1	normal	0.0; 3.0	0.0; 0.1414213562373095
alpha_1_7	lin	-10	10	-0.18350164957351625	1	normal	0.0; 3.0	0.0; 0.1414213562373095
alpha_7_1	lin	-10	10	-3.0352274110819923	1	normal	0.0; 3.0	0.0; 0.1414213562373095
alpha_1_8	lin	-10	10	-0.10705875750345985	1	normal	0.0; 3.0	0.0; 0.1414213562373095
alpha_8_1	lin	-10	10	-0.13561018513590964	1	normal	0.0; 3.0	0.0; 0.1414213562373095
alpha_1_9	lin	-10	10	-0.1614316445415202	1	normal	0.0; 3.0	0.0; 0.1414213562373095
alpha_9_1	lin	-10	10	1.761207685056059	1	normal	0.0; 3.0	0.0; 0.1414213562373095
alpha_1_10	lin	-10	10	-0.3015168796627203	1	normal	0.0; 3.0	0.0; 0.1414213562373095
alpha_10_1	lin	-10	10	3.937330163851027	1	normal	0.0; 3.0	0.0; 0.1414213562373095
